"ACTIVITY_ID","CASE_NUMBER","FED_PENALTY","ST_LCL_PENALTY","TOTAL_SEP","COMPLIANCE_ACTION_COST","FEDERAL_COST_RECOVERY_AMT","STATE_LOCAL_COST_RECOVERY_AMT","PENALTY_COLLECTED_AMT"
"1400014051","02-2009-8003","0","0","0","1000",,,"0"
"1400041879","04-2009-4790","0","0","0","100500",,,"0"
"1400042289","03-2009-0130","65000","0","0","0",,,"0"
"1400043153","04-2009-0796","0","0","0","1500",,,"0"
"1400043350","05-2009-3815","93392","0","0","0",,,"93392"
"1400029722","08-2009-0053","1000","0","0","0",,,"1000"
"1400040922","07-2009-0107","167600","0","0","0",,,"167600"
"1400042102","06-2009-1861","0","0","0","20000",,,"0"
"1400041478","04-2009-2025","2390","0","8962","100",,,"2390"
"1400041953","02-2009-3057","0","0","0","1000",,,"0"
"1400043525","04-2009-0795","0","0","0","4800",,,"0"
"1400046400","09-2009-5031","2500","0","0","0",,,"2500"
"1400046673","07-2009-0136","40269","0","0","7400",,,"0"
"1400036847","02-2009-3352","2750","0","0","0",,,"0"
"1400049600","07-2009-0143","2350","0","0","18000",,,"2350"
"1400043523","04-2009-5764","0","0","0","5000",,,"0"
"1400045487","02-2009-7999","300","0","0","4000",,,"0"
"1400046211","02-2009-0502","1750","0","0","2100",,,"0"
"1400046516","06-2009-4326","900","0","0","35000",,,"900"
"177778","01-2006-0011","0","0","0","0",,,"0"
"1400048987","10-2009-0170","50","0","0","50",,,"50"
"1400049025","06-2009-1240","0","0","0","5000",,,"0"
"1000004668","01-2008-7017","3129","0","28164","0",,,"0"
"1400042526","09-1989-2500","0","0","0","0",,,"0"
"1400033345","06-2009-3577","1155","0","0","83000",,,"1155"
"1400047899","06-2009-4331","400","0","0","50",,,"400"
"1400048850","06-2009-4513","500","0","0","4000",,,"500"
"1400049021","06-2009-1221","0","0","0","5000",,,"0"
"1400049834","05-2009-2007","300","0","0","0",,,"300"
"1400000506","01-2008-2091","0","0","0","15000000",,,"0"
"1400009160","03-2008-0393","10000","0","0","5000",,,"10000"
"1400041951","02-2009-3058","0","0","0","1000",,,"0"
"1400041989","07-2009-0116","1350","0","0","2600",,,"1350"
"1400048984","10-2009-0171","600","0","0","500",,,"600"
"1400009396","06-2008-1297","0","0","0","35000",,,"0"
"1400009480","05-2008-4619","0","0","0","60",,,"0"
"1400010465","02-2008-2023","0","0","0","675000",,,"0"
