"ACTIVITY_ID","CASE_NUMBER","REGIONAL_DOCKET_NMBR"
"12352","03-1988-0372","III-88-026DW"
"12353","03-1988-0373","III-88-027DW"
"12354","03-1988-0374","III-88-028DW"
"8591","02-2001-8078","SDWA-02-2001-8078"
"8592","02-2001-8081","SDWA-02-2001-8081"
"8593","02-2001-8083","SDWA-02-2001-8083"
"8594","02-2001-8084","SDWA-02-2001-8084"
"8595","02-2001-8085","SDWA-02-2001-8085"
"8596","02-2001-8086","SDWA-02-2001-8086"
"8597","02-2001-8087","SDWA-02-2001-8087"
"8598","02-2001-8088","SDWA-02-2001-8088"
"8599","02-2001-8089","SDWA-02-2001-8089"
"8600","02-2001-8090","SDWA-02-2001-8090"
"8601","02-2001-8091","SDWA-02-2001-8091"
"8602","02-2001-8092","SDWA-02-2001-8092"
"8967","03-1978-0017","79-1194C"
"8968","03-1978-0018","79-1194C"
"8969","03-1978-0020","78-55-C"
"8971","03-1978-0023","79-617C"
"8972","03-1978-0024","79-0002(W)"
"7744","02-2000-8152","SDWA-02-2000-8152"
"7746","02-2000-8154","SDWA-02-2000-8154"
"8413","02-2001-3314","CWA-02-2001-3314"
"8414","02-2001-3315","CWA-02-2001-3315"
"518","01-1996-0088","96-23"
"521","01-1996-0091","CAA-I-96-1046"
"523","01-1996-0093","96-13"
"527","01-1996-0097","CWA-2-I-96-1048"
"755","01-1997-0201","CERCLA I-97-1076"
"758","01-1997-0204","99-152ML"
"760","01-1997-0206","97-69"
"762","01-1997-0208","CERCLA-I-97-1038"
"768","01-1997-0215","CERCLA I-97-1000"
"417","01-1995-0115","I-95-1053"
"423","01-1995-0121","CWA-1-I-95-1068"
"424","01-1995-0122","CWA-I-95-1024"
"425","01-1995-0123","CWA-1-I-95-1063"
"71","01-1984-0004","84-0152"
"847","01-1998-0037","FIELD CIT. 98-125"
"848","01-1998-0038","EPCRA-I-98-1010"
"12362","03-1988-0382","III-341-C"
"12363","03-1988-0383","III-342-C"
"13103","03-1989-0266","03-89-0112NT"
"13104","03-1989-0267","03-89-0113NT"
"13105","03-1989-0268","03-89-0114NT"
"13106","03-1989-0269","03-89-0115NT"
"13107","03-1989-0270","03-89-0116NT"
"9283","03-1981-0310","03-87-003VS"
"9284","03-1981-0311","03-87-004VS"
"9285","03-1981-0312","03-87-005VS"
